step,score
1,0.55139065
2,0.5847969
3,0.51092184
4,0.48057032
5,0.42671096
6,0.42387497
7,0.44684252
8,0.42546874
9,0.43771425
10,0.43131495
11,0.46288005
12,0.4725339
13,0.45444
14,0.4448197
15,0.4756508
16,0.49582925
17,0.4905397
18,0.5114724
19,0.50470495
20,0.52575594
21,0.56584007
22,0.62795156
23,0.548439
24,0.57685816
25,0.5283174
26,0.56334376
27,0.54266924
28,0.5623281
29,0.5169921
30,0.54595155
31,0.54724413
32,0.54658735
33,0.538056
34,0.6121103
35,0.5760492
36,0.57634956
37,0.611193
38,0.56244445
39,0.562625
40,0.62271553
41,0.65706664
42,0.65101594
43,0.65261406
44,0.67773646
45,0.66884404
46,0.7137606
47,0.70082295
48,0.72556525
49,0.6971415
50,0.69911706
51,0.6911316
52,0.71651304
53,0.7437217
54,0.72052985
55,0.77343106
56,0.75421363
57,0.68770087
58,0.75386083
59,0.704292
60,0.72381306
61,0.68763965
62,0.6863391
63,0.670369
64,0.6600088
65,0.6548627
66,0.6938654
67,0.6549821
68,0.7637685
69,0.76238894
70,0.7206186
71,0.743
72,0.7292363
73,0.7215461
74,0.7244018
75,0.73786604
76,0.74946433
77,0.74131185
78,0.77408165
79,0.72513
80,0.743514
81,0.78475225
82,0.7860947
83,0.736513
84,0.7705218
85,0.7426522
86,0.6999999
87,0.7215564
88,0.7251558
89,0.78022027
90,0.7441565
91,0.7804746
92,0.7942268
93,0.786807
94,0.81245387
95,0.80368423
96,0.7904762
97,0.769
98,0.8073425
99,0.7743693
100,0.7820281
101,0.74761903
102,0.78538936
103,0.7871632
104,0.780414
105,0.75249016
106,0.79026216
107,0.7871509
108,0.7673943
109,0.76322424
110,0.7466973
111,0.72459406
112,0.71364427
113,0.70388466
114,0.6964519
115,0.7260385
116,0.74821186
117,0.75460184
118,0.75093746
119,0.78427184
120,0.7506504
121,0.7380093
122,0.69474995
123,0.6797807
124,0.755125
125,0.7159315
126,0.6923478
127,0.693125
128,0.6889508
129,0.6902975
130,0.7126466
131,0.7281558
132,0.6951441
133,0.73560005
134,0.7219756
135,0.72186065
136,0.7127858
137,0.69083464
138,0.68187207
139,0.74151635
140,0.70521015
141,0.6944754
142,0.72221005
143,0.69587505
144,0.68361545
145,0.7196291
146,0.73704845
147,0.7555082
148,0.7432149
149,0.7215714
150,0.76117355
151,0.717282
152,0.71509486
153,0.69685364
154,0.76767796
155,0.7402016
156,0.74901676
157,0.71172655
158,0.7553162
159,0.76321244
160,0.74870086
161,0.7681466
162,0.7576098
163,0.7404508
164,0.7167311
165,0.75327724
166,0.7511795
167,0.73586065
168,0.76851666
169,0.7260492
170,0.7523917
171,0.7442
172,0.7634706
173,0.7314909
174,0.745641
175,0.7726865
176,0.78187734
177,0.76673216
178,0.7605496
179,0.75373507
180,0.79111814
181,0.77694076
182,0.77594954
183,0.7297626
184,0.7822377
185,0.7941786
186,0.7819292
187,0.7706542
188,0.7627118
189,0.7784576
190,0.75857985
191,0.73867524
192,0.76899093
193,0.759025
194,0.7547167
195,0.7772352
196,0.7683387
197,0.7555798
198,0.7964237
199,0.7775676
200,0.8024906
201,0.7626325
202,0.7968174
203,0.7833717
204,0.7888696
205,0.8001429
206,0.7497311
207,0.7888862
208,0.7752833
209,0.78511024
