step,score
1,0.5983516
2,0.5353515
3,0.53235936
4,0.48125
5,0.50637007
6,0.46349218
7,0.43098438
8,0.4434048
9,0.4447344
10,0.44357032
11,0.4900391
12,0.51725
13,0.49304688
14,0.52247655
15,0.52611715
16,0.5183828
17,0.5786666
18,0.5089685
19,0.48378125
20,0.48527777
21,0.51072
22,0.5327984
23,0.5427143
24,0.534608
25,0.47996828
26,0.5317953
27,0.567336
28,0.53256905
29,0.56471306
30,0.5462
31,0.50703335
32,0.53118855
33,0.5508536
34,0.5720001
35,0.58837306
36,0.57453597
37,0.6156129
38,0.63368297
39,0.6274516
40,0.66607755
41,0.648819
42,0.6490743
43,0.608438
44,0.64144915
45,0.65267795
46,0.65042144
47,0.64184433
48,0.65618175
49,0.60358334
50,0.5869016
51,0.58722496
52,0.6204146
53,0.6162458
54,0.6403771
55,0.6119018
56,0.6438068
57,0.6338182
58,0.670688
59,0.67842734
60,0.6495167
61,0.63657373
62,0.66770333
63,0.69911385
64,0.65221804
65,0.671531
66,0.66317856
67,0.680487
68,0.6635454
69,0.687077
70,0.72200006
71,0.6734463
72,0.6868417
73,0.6798205
74,0.6737787
75,0.68829757
76,0.67938656
77,0.6916875
78,0.7159827
79,0.72643334
80,0.7039655
81,0.7228455
82,0.6617667
83,0.6934562
84,0.71938336
85,0.69484603
86,0.6823253
87,0.6448688
88,0.66131455
89,0.64270496
90,0.67261976
91,0.6784033
92,0.65960807
93,0.6596416
94,0.68723476
95,0.68984294
96,0.6882845
97,0.65977967
98,0.6884872
99,0.68709236
100,0.67954135
101,0.69757986
102,0.66009915
103,0.68866956
104,0.67077774
105,0.68908066
106,0.67457503
107,0.7234224
108,0.6489825
109,0.6543966
110,0.6605169
111,0.7051927
112,0.6647651
113,0.6957459
114,0.6915455
115,0.6888212
116,0.68546283
117,0.7104065
118,0.68327343
119,0.68357486
120,0.6934049
121,0.67684424
122,0.70335776
123,0.7027373
124,0.653624
125,0.60344535
126,0.65417355
127,0.65941525
128,0.6440183
129,0.6430893
130,0.68668383
131,0.6357302
132,0.69395834
133,0.68873507
134,0.717813
135,0.67805
136,0.70331085
137,0.7047937
138,0.7139838
139,0.69947904
140,0.7350874
141,0.7586856
142,0.7334762
143,0.6969512
144,0.72601616
145,0.73105687
146,0.7510082
147,0.723762
148,0.72408265
149,0.707839
150,0.71789485
151,0.7602909
152,0.68068916
153,0.7052956
154,0.71656245
155,0.73025644
156,0.74550444
157,0.7361917
158,0.73211294
159,0.74780995
160,0.7492618
161,0.73750836
162,0.7487652
163,0.75813663
164,0.7910797
165,0.77911484
166,0.771374
167,0.7956611
168,0.78349125
169,0.7843774
170,0.78875417
171,0.7888334
172,0.81235
173,0.7932223
174,0.8085631
175,0.77941877
176,0.77614415
177,0.76052845
178,0.79988796
179,0.7881283
180,0.8030848
181,0.7933983
182,0.8040248
183,0.7732348
184,0.8140593
185,0.7910917
186,0.7805584
187,0.8184453
188,0.7833424
189,0.80523485
190,0.79595166
191,0.8157807
192,0.81229573
193,0.8247712
194,0.8147805
195,0.8354083
196,0.79857755
197,0.7817436
198,0.82721746
199,0.7900335
200,0.79450893
201,0.79454696
202,0.8004722
203,0.7672679
204,0.80736524
205,0.76165223
206,0.78816074
207,0.740886
208,0.7684166
209,0.7913505
210,0.8270526
211,0.819839
212,0.81885344
213,0.7404324
214,0.8146827
215,0.7950776
216,0.82969743
217,0.7985431
218,0.81442744
219,0.8119756
220,0.8064999
221,0.849819
222,0.7887564
223,0.83841884
224,0.79251283
225,0.8114825
226,0.83094215
227,0.81964415
228,0.7944758
229,0.80017537
230,0.7950812
231,0.8094954
