step,score
1,0.5433829
2,0.5719453
3,0.5517734
4,0.5618125
5,0.4916016
6,0.48217964
7,0.45367968
8,0.41035157
9,0.4470556
10,0.41819838
11,0.35296094
12,0.42902344
13,0.40384376
14,0.45775002
15,0.4638828
16,0.45384374
17,0.45860937
18,0.52099216
19,0.5142598
20,0.50464845
21,0.53472656
22,0.50964844
23,0.5178268
24,0.5267422
25,0.52891934
26,0.5562969
27,0.50012696
28,0.57880986
29,0.58120966
30,0.5773307
31,0.58154094
32,0.58352005
33,0.5842927
34,0.5708268
35,0.5690522
36,0.574425
37,0.5346585
38,0.57929915
39,0.5311789
40,0.58383757
41,0.55942476
42,0.5211141
43,0.58146954
44,0.5878621
45,0.5701465
46,0.59680873
47,0.5858181
48,0.5963197
49,0.58426046
50,0.61289096
51,0.53713334
52,0.61728454
53,0.62433624
54,0.59053046
55,0.5973628
56,0.6321593
57,0.63622814
58,0.6315172
59,0.6408774
60,0.0
61,0.6388019
62,0.6757524
63,0.64452296
64,0.5907982
65,0.6115288
66,0.64239997
67,0.61345536
68,0.62554866
69,0.61043364
70,0.6118828
71,0.6776576
72,0.6111942
73,0.64463156
74,0.63369024
75,0.6023277
76,0.58544165
77,0.55540174
78,0.543672
79,0.58753276
80,0.5934762
81,0.41835484
82,0.62332785
83,0.60830164
84,0.64063865
85,0.6417869
86,0.63360316
87,0.6487934
88,0.6767967
89,0.6270336
90,0.6650776
91,0.6255586
92,0.683027
93,0.635033
94,0.6576129
95,0.632683
96,0.625048
97,0.60830164
98,0.6230407
99,0.6173969
100,0.6109355
101,0.6068572
102,0.6176859
103,0.58788425
104,0.58797413
105,0.63942975
106,0.6279646
107,0.59799147
108,0.5924274
109,0.61499184
110,0.61979675
111,0.5985812
112,0.63645077
113,0.62946284
114,0.66169745
115,0.59819996
116,0.6649231
117,0.6557899
118,0.67570347
119,0.68999183
120,0.65120465
121,0.67558205
122,0.678625
123,0.6621789
124,0.68240005
125,0.6527544
126,0.63426894
127,0.63610744
128,0.661719
129,0.640016
130,0.62224996
131,0.6500496
132,0.62707317
133,0.64074594
134,0.6275519
135,0.6132195
136,0.6273821
137,0.657976
138,0.6360397
139,0.6575564
140,0.6212177
141,0.62684005
142,0.6377016
143,0.6527479
144,0.64186066
145,0.6576394
146,0.6304524
147,0.66391265
148,0.6400085
149,0.6477904
150,0.65483046
151,0.69673556
152,0.6684
153,0.65420175
154,0.66229594
155,0.6790583
156,0.6958991
157,0.67025864
158,0.68345374
159,0.65352416
160,0.67863256
161,0.69038665
162,0.7023141
163,0.67591375
164,0.7109593
165,0.67504
166,0.7152661
167,0.698168
168,0.7232683
169,0.69777226
170,0.6982951
171,0.68109614
172,0.721448
173,0.7245999
174,0.6963033
175,0.66316664
176,0.72689074
177,0.71939844
178,0.6964793
179,0.6864881
180,0.7153089
181,0.71348274
182,0.7355897
183,0.7395667
184,0.69656444
185,0.7547816
186,0.7670351
187,0.74209833
188,0.7184508
189,0.70473737
190,0.69447166
191,0.69123584
192,0.658354
193,0.7124774
194,0.70314705
195,0.700054
196,0.70486116
197,0.71751267
198,0.73051316
199,0.7642655
200,0.73978907
201,0.7667314
202,0.75429046
203,0.7520855
204,0.7755206
205,0.7680609
206,0.75900805
207,0.72176224
208,0.74192005
209,0.75694305
210,0.73078156
211,0.71064514
212,0.72528565
213,0.63835996
214,0.7204017
215,0.58036005
216,0.65149605
