step,score
1,0.5528672
2,0.5639375
3,0.56273437
4,0.54727346
5,0.48995316
6,0.49744534
7,0.46376562
8,0.4423203
9,0.4685781
10,0.42124408
11,0.4447344
12,0.47800782
13,0.49673435
14,0.5005625
15,0.5287266
16,0.46854687
17,0.53275
18,0.5204252
19,0.5256062
20,0.52375
21,0.49200782
22,0.55533594
23,0.52903146
24,0.5585703
25,0.5871094
26,0.54841405
27,0.5931953
28,0.56196874
29,0.5728984
30,0.59337497
31,0.5694488
32,0.57760936
33,0.57730323
34,0.5887399
35,0.6151
36,0.55848384
37,0.61250836
38,0.612484
39,0.64481145
40,0.6449112
41,0.618748
42,0.6704678
43,0.6721111
44,0.6302414
45,0.6670439
46,0.64734167
47,0.6457589
48,0.6530982
49,0.64353985
50,0.6294569
51,0.5965929
52,0.5854423
53,0.66436607
54,0.6581261
55,0.6594867
56,0.68633926
57,0.67968595
58,0.68937504
59,0.68042105
60,0.7121666
61,0.69332767
62,0.6691131
63,0.6859729
64,0.739112
65,0.7232804
66,0.73379314
67,0.78625435
68,0.7931696
69,0.75420004
70,0.8050169
71,0.6960531
72,0.75354993
73,0.74336034
74,0.73388696
75,0.75958484
76,0.7634386
77,0.72161776
78,0.7281138
79,0.75539994
80,0.746678
81,0.73971546
82,0.7396228
83,0.7460265
84,0.72246665
85,0.71284074
86,0.69704354
87,0.6848727
88,0.6863248
89,0.6913628
90,0.723461
91,0.7399737
92,0.70828104
93,0.72156525
94,0.69416517
95,0.68990904
96,0.7085652
97,0.70413095
98,0.6933875
99,0.6944553
100,0.68746495
101,0.68355554
102,0.69263154
103,0.68975
104,0.71013445
105,0.68448734
106,0.7077886
107,0.7089836
108,0.70512295
109,0.7177863
110,0.70875
111,0.7082562
112,0.7527034
113,0.69478047
114,0.70695806
115,0.68734396
116,0.7333251
117,0.7450661
118,0.7573496
119,0.74036527
120,0.7261965
121,0.7060863
122,0.71133596
123,0.69648796
124,0.7022278
125,0.69796646
126,0.7281452
127,0.7472149
128,0.7340731
129,0.72720695
130,0.746805
131,0.7164746
132,0.71605134
133,0.71099156
134,0.7047167
135,0.70666367
136,0.71950823
137,0.7251512
138,0.69742244
139,0.7311463
140,0.69752544
141,0.68112195
142,0.7210254
143,0.70934427
144,0.71952456
145,0.725176
146,0.6980902
147,0.72609085
148,0.7093419
149,0.7392213
150,0.7287819
151,0.71962965
152,0.73800856
153,0.73594683
154,0.719
155,0.72610813
156,0.70636356
157,0.70191056
158,0.7052951
159,0.6947213
160,0.72235286
161,0.6945088
162,0.73305744
163,0.7001707
164,0.7432049
165,0.71645236
166,0.73149997
167,0.7336356
168,0.723718
169,0.7358843
170,0.7560323
171,0.7878853
172,0.7539099
173,0.71959007
174,0.76618695
175,0.7765
176,0.78337705
177,0.7585952
178,0.7872049
179,0.7866066
180,0.7557807
181,0.7886727
182,0.7791518
183,0.76060176
184,0.76982886
185,0.7729297
186,0.78612715
187,0.80871177
188,0.80118966
189,0.8053089
190,0.82411015
191,0.7901405
192,0.8059562
193,0.7966068
194,0.781537
195,0.7883363
196,0.7772386
197,0.8076909
198,0.8005877
199,0.7769051
200,0.757904
201,0.747881
202,0.7725984
203,0.77374387
204,0.75895965
205,0.76304
206,0.78293645
207,0.76797545
208,0.7729167
