step,score
1,0.52085936
2,0.52853906
3,0.55021095
4,0.52158594
5,0.5503516
6,0.48096097
7,0.46191406
8,0.46670315
9,0.49142066
10,0.43681252
11,0.43508595
12,0.40397656
13,0.46214062
14,0.41284373
15,0.4750625
16,0.44560936
17,0.4503307
18,0.4396953
19,0.4591719
20,0.4668828
21,0.4692756
22,0.47021878
23,0.54994535
24,0.538189
25,0.52171874
26,0.48057032
27,0.57699996
28,0.53062207
29,0.60269535
30,0.55449224
31,0.5164016
32,0.57449603
33,0.60807145
34,0.593375
35,0.592552
36,0.56767994
37,0.5401066
38,0.6057787
39,0.5563833
40,0.5880336
41,0.60286087
42,0.6079821
43,0.6586174
44,0.64412606
45,0.6771271
46,0.617984
47,0.64336884
48,0.6689912
49,0.6505403
50,0.63378686
51,0.6804628
52,0.6237479
53,0.61849564
54,0.62803507
55,0.6166436
56,0.63642377
57,0.67352635
58,0.6705714
59,0.69338334
60,0.65117496
61,0.6840344
62,0.68929064
63,0.68620515
64,0.7188982
65,0.65636206
66,0.66708624
67,0.680144
68,0.68782896
69,0.6708439
70,0.68863636
71,0.64232224
72,0.66461664
73,0.6689197
74,0.669878
75,0.67324346
76,0.6716842
77,0.68166083
78,0.60767496
79,0.6774263
80,0.6364537
81,0.6191187
82,0.6909837
83,0.6753108
84,0.6781896
85,0.66005784
86,0.6735403
87,0.6958606
88,0.7194122
89,0.66915923
90,0.6593146
91,0.65171313
92,0.6837227
93,0.69703424
94,0.7172703
95,0.6985798
96,0.6959193
97,0.7053492
98,0.7135738
99,0.67577875
100,0.7204365
101,0.7130331
102,0.6432903
103,0.66984165
104,0.68036
105,0.6939917
106,0.684621
107,0.62813944
108,0.65365857
109,0.669252
110,0.6112017
111,0.65825003
112,0.70729506
113,0.70018035
114,0.69053334
115,0.7199181
116,0.7144202
117,0.7366271
118,0.73107505
119,0.7237083
120,0.71317077
121,0.70726717
122,0.71735
123,0.7481626
124,0.73152137
125,0.7361196
126,0.7493025
127,0.7552689
128,0.7257193
129,0.6659245
130,0.7407565
131,0.7210172
132,0.7403898
133,0.70629734
134,0.7578131
135,0.74542195
136,0.7150001
137,0.7113365
138,0.71054
139,0.7365445
140,0.7263783
141,0.715125
142,0.7098645
143,0.71992314
144,0.70797384
145,0.71637064
146,0.7449211
147,0.70235044
148,0.6955042
149,0.71147054
150,0.71629274
151,0.70546776
152,0.7079231
153,0.75409245
154,0.7096936
155,0.7520908
156,0.7677815
157,0.74276227
158,0.71210325
159,0.70576614
160,0.7452847
161,0.7231083
162,0.71548736
163,0.7220089
164,0.6666101
165,0.69632775
166,0.6424188
167,0.6355496
168,0.6968214
169,0.62449574
170,0.6358198
171,0.66459465
172,0.624584
173,0.643184
174,0.66892785
175,0.70573103
176,0.6727317
177,0.69275653
178,0.6662833
179,0.66853786
180,0.72024167
181,0.72519517
182,0.7449739
183,0.7556423
184,0.7409206
185,0.75072443
186,0.760392
187,0.7672438
188,0.7746312
189,0.76972806
190,0.7556417
191,0.74450403
192,0.8204958
193,0.720248
194,0.7725169
195,0.7739482
196,0.7547457
197,0.7068929
198,0.6494877
199,0.6749173
200,0.7016967
201,0.7149999
202,0.73164415
203,0.70143086
204,0.738541
205,0.7201219
206,0.7284098
207,0.6976334
208,0.7000656
209,0.6733
210,0.7044794
211,0.71119356
212,0.7213063
213,0.73635
